"","ID_new","PraiseEmpathy1","PraiseEmpathy2","PraiseEmpathy3","PraiseEmpathy4","PraiseEmpathy5","PraiseEmpathy6","PraiseEmpathy7","PraiseEmpathy8","PraiseEmpathy9","PraiseEmpathy10","PraiseEmpathy11","PraiseEmpathy12","PraiseEmpathy13","PraiseEmpathy14","PraiseEmpathy15","PraiseEmpathy1a","PraiseEmpathy2a","PraiseEmpathy3a","PraiseEmpathy4a","PraiseEmpathy5a","PraiseEmpathy6a","PraiseEmpathy7a","PraiseEmpathy8a","PraiseEmpathy9a","PraiseEmpathy10a","PraiseEmpathy11a","PraiseEmpathy12a","PraiseEmpathy13a","PraiseEmpathy14a","PraiseEmpathy15a","Aa","Ba","Ca","Q415","Q427","Q436","Q448","Q460","Q472","Q484","Q496","Q508","Q520","Q532","Q544","Ab_1","Bb_1","Cb_1","Q418_1","Q430_1","Q439_1","Q451_1","Q463_1","Q475_1","Q487_1","Q499_1","Q511_1","Q523_1","Q535_1","Q547_1","Ab_2","Bb_2","Cb_2","Q418_2","Q430_2","Q439_2","Q451_2","Q463_2","Q475_2","Q487_2","Q499_2","Q511_2","Q523_2","Q535_2","Q547_2","Ab_3","Bb_3","Cb_3","Q418_3","Q430_3","Q439_3","Q451_3","Q463_3","Q475_3","Q487_3","Q499_3","Q511_3","Q523_3","Q535_3","Q547_3","Ac","Bc","Cc","Q421","Q433","Q442","Q454","Q466","Q478","Q490","Q502","Q514","Q526","Q538","Q550","attrite_1","attrite_2","attrite_3","attrite_4","attrite_5","attrite_6","attrite_7","attrite_8","attrite_9","attrite_10","attrite_11","attrite_12","attrite_13","attrite_14","attrite_15","firstimage_race","secondimage_race","thirdimage_race","fourthimage_race","fifthimage_race","sixthimage_race","seventhimage_race","eighthimage_race","ninethimage_race","tenthimage_race","eleventhimage_race","twelfthimage_race","thirteenthimage_race","fourteenthimage_race","fifteenthimage_race","firstimage_emotion","secondimage_emotion","thirdimage_emotion","fourthimage_emotion","fifthimage_emotion","sixthimage_emotion","seventhimage_emotion","eighthimage_emotion","ninethimage_emotion","tenthimage_emotion","eleventhimage_emotion","twelfthimage_emotion","thirteenthimage_emotion","fourteenthimage_emotion","fifteenthimage_emotion","ID","Age","Sex","Race","Education","Income","Religion","pres_approval","ideology","Party","post17","BaseEmpathy_1","BaseEmpathy_2","BaseEmpathy_3","BaseEmpathy_4","BaseEmpathy_5","BaseEmpathy_6","BaseEmpathy_7","BaseEmpathy_8","BaseEmpathy_1_n","BaseEmpathy_2_n","BaseEmpathy_3_n","BaseEmpathy_4_n","BaseEmpathy_5_n","BaseEmpathy_6_n","BaseEmpathy_7_n","BaseEmpathy_8_n","BaseEmpathy_perspective","BaseEmpathy_warm","BaseEmpathy_anxiety","BaseEmpathy_imagination","trial","describeORfeel","describeORfeel1","describeORfeel2","describeORfeel3","describeORfeel4","describeORfeel5","describeORfeel6","describeORfeel7","describeORfeel8","describeORfeel9","describeORfeel10","describeORfeel11","describeORfeel12","describeORfeel13","describeORfeel14","describeORfeel15","PraiseEmpathy","PraiseEmpathy_a","text1","text2","text3","text4","therm","attrite","race_randomized","emotion_randomized","describeORfeel_new","race_randomized2","emotion_randomized2","PraiseDescribe_v_Control","trump_approval_n","BaseEmpathy_battery","BaseEmpathy_tercile","text"
"1",1,1,NA,NA,NA,0,1,0,NA,1,1,0,1,0,1,1,1,0,0,0,NA,1,NA,0,1,1,NA,1,NA,1,1,"worried","the person age is 38,gender is male, race is white","the person feeling is something looser","The person age is 42, gender is male, race is black.","Disappointment","This person age is 45, this person gender is male, race is black.","Amazed","This person age is 38, this person gender is male, race is black.","Ugly","age is 29, male, race is white","Age is 40, male, race is black","Age is 40, gender is male , race is black","age is 46, gender is male, race is black","Feel","Age is 45, gender is male, race white","the person feel is worried condition","the middle age of lifestyle ","lose of job","The person is cross half of the age in life time ","the lose in something","The person is marred look","This person look is surprise","strong age person","worried","young person","yang person ","marred look","beg age ","Anything feelings","marred age","the person is disturbed","the identification of male ","disappointment","This person is not is unique person","not well feeling","This guy gender is male","stunned look","more dominant gender","worst feeling","the dominant gender","nice gender ","very like gender ","super gender","sometime problem ","nice gender ","the person look is anxious","the white person","not improvement in life","not Hispanic male","not enough the day","black","the friend is unexpected gift","black","unexpected problem","us race people","black","black","black","bad thinking","white","1","5","5","6","3","5","6","5","2","4","4","3","7","2","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","B","B","W","B","B","B","W","W","B","B","B","B","W","F","A","A","A","A","A","F","F","F","A","A","F","F","A","F",1,"31-40","Male","Black or African American","Master's degree (MA/MS/MBA)","50k to less than 75k","Roman Catholic","2","2","Republican",3,"Describes me","Describes me very well","Describes me","Describes me very well","Somewhat describes me","Describes me very well","Describes me","Describes me very well",4,5,4,5,3,5,4,5,9,9,8,9,"describeORfeel1",1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,"worried","the person feel is worried condition","the person is disturbed","the person look is anxious","1",0,"W","F",0.5,0,0,NA,6,35,"High","worried the person feel is worried condition the person is disturbed the person look is anxious"
"3",3,1,0,0,NA,0,1,NA,1,1,0,0,0,NA,1,1,1,NA,NA,0,NA,1,0,1,1,NA,NA,NA,0,1,1,"Is a funny look","Black individual that's young ","he is ready for everything in life","Feels like there will be alot to worry about","surprised because of how repetitive ","Feels like it's very underpaid and exhausting ","Feeling like he is about to finish the abusive pay","Young white male","Feels like there was an accident","Feeling angry and wants revenge ","feeling like there isnt much to it but to do it","someone who is willing to work and continue quickluy","feel like these people are taking advantage of everyone ","feels never ending and there will likely be no time ","feels like there is someone reading the gas pump and realizing underpaid wok","Cold","Awful","Wasted","Cool","Sad","wasted","Surprised ","Washed","Long","Long","no time","ashamed","shocked","shame","confused","swag","underpaid ","retetitive","fun","confused","Long","shocked","wasted","Bitter","waiting","shame ","unique","ashamed","people","dazzled","confused","repetitive","task","ashamed","whacked","locked","shamed","exhausted","Task","forever","workers","hungry","humiliated","you","sad","5","8","9","0","5","2","1","5","4","2","2","1","5","5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","B","W","B","W","W","B","W","B","W","W","B","A","A","A","A","F","A","F","F","F","A","F","F","F","A","A",3,"20-30","Male","Hispanic or Latino","Some high school, but did not graduate","Less than 25k","Roman Catholic","4","4","Lean Republican",3,"Describes me","Describes me","Somewhat describes me","Somewhat describes me","Describes me","Does not describe me","Describes me","Somewhat describes me",4,4,3,3,4,2,4,3,8,6,6,7,"describeORfeel1",1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,"Is a funny look","Cold","swag","confused","5",0,"W","A",0.5,0,1,NA,4,27,"Low","Is a funny look Cold swag confused"
"5",5,1,0,0,0,NA,1,1,1,0,1,1,0,1,1,NA,1,NA,NA,NA,0,1,1,1,NA,1,1,NA,1,1,0,"i think he is mad","i think he is happy and sad also.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ugly","beauty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sad","smile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mad","eyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","W","W","W","W","W","B","B","W","W","B","W","W","B","A","F","A","A","A","F","A","A","A","F","F","F","A","A","A",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"describeORfeel1",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"i think he is mad","ugly","sad","mad","2",0,"W","A",0.5,0,1,NA,NA,NA,NA,"i think he is mad ugly sad mad"
"6",6,0,1,NA,0,1,0,0,0,1,0,1,1,1,0,0,NA,1,0,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,"he feels discusted","this person is angry","he is surprised","black male young","This person feels fear","he is in disbelief",NA,NA,NA,NA,NA,NA,NA,NA,NA,"discusted","mad","shocked","handsome","scared","shocked",NA,NA,NA,NA,NA,NA,NA,NA,NA,"grossed out","skeptical","alarmed","bald","timid","disbelieveing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"annoyed","annoyed","surprised","manly","afraid","alarmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","6","6","7","8","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"B","B","W","B","W","B","W","W","B","W","B","B","B","W","B","A","A","F","F","F","F","A","A","F","A","A","F","A","F","A",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"describeORfeel1",1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"he feels discusted","discusted","grossed out","annoyed","3",0,"B","A",0.5,1,1,0,NA,NA,NA,"he feels discusted discusted grossed out annoyed"
"7",7,1,0,1,NA,1,NA,NA,1,0,1,0,1,0,0,1,1,NA,1,0,1,0,0,1,NA,1,NA,1,NA,NA,1,"irritate ","28 , male , white ","shock ","surprise ","sad","22 , male , black","stun","shy","surprise","sad","shock ","sad","27","shy","shock","irritate ","28","25","wow","28","22","wow","mousy","surprise ","sad","surprise","cry","27","shy","surprise","vex","male ","male","surprise ","male","male ","surprise","timid ","stun","cry","shock ","unhappy","male","unhappy","shock ","anger","white ","black ","amaze ","white","black ","stun","bashful ","stupefy ","unhappy","stun","sad","black","sad","stun","6","7","6","6","7","6","6","3","3","3","9","7","8","8","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","B","W","W","B","W","B","B","W","W","W","B","B","W","A","F","F","F","A","F","F","F","F","A","F","A","A","A","F",7,"20-30","Male","Black or African American","Master's degree (MA/MS/MBA)","50k to less than 75k","Roman Catholic","1","6","Strong Republican",4,"Somewhat describes me","Describes me","Somewhat describes me","Describes me","Describes me very well","Describes me","Somewhat describes me","Describes me",3,4,3,4,5,4,3,4,7,7,9,7,"describeORfeel1",1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,"irritate ","irritate ","vex","anger","6",0,"W","A",0.5,0,1,NA,7,30,"Medium","irritate  irritate  vex anger"
"8",8,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,NA,1,0,0,"sad","36","34","shock","good","angry","great","crying","shock","29","27","32","29","32","28","sad","36","34","shock","good","angry","great","crying","shock","29","27","32","29","32","28","very sad","male","male","very shock","very good","very angry","very great","very crying","very shock","male","male","male","male","male","male","difficult","sad","good","good","nice","sad","good","sad","shock","good","whit","black","whit","black","whit","5","5","5","6","4","7","5","4","5","3","7","8","4","5","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","B","B","W","B","B","B","B","B","W","B","W","B","W","A","A","A","F","A","A","A","F","F","F","A","F","A","A","A",8,"51-60","Female","White","Some college, but did not complete a degree","50k to less than 75k","Nothing in particular","4","4","Republican",3,"Somewhat describes me","Does not describe me","Somewhat describes me","Somewhat describes me","Does not describe me","Somewhat describes me","Describes me","Somewhat describes me",3,2,3,3,2,3,4,3,5,6,5,7,"describeORfeel1",1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,"sad","sad","very sad","difficult","5",0,"W","A",0.5,0,1,0,4,23,"Low","sad sad very sad difficult"
"9",9,0,1,NA,1,1,0,NA,1,1,1,0,NA,NA,1,NA,NA,1,0,1,1,NA,0,1,1,1,NA,0,0,1,0,"something we can more visibly see or experience, like how a person smiles.","Can you describe him? ... It was difficult to describe the depth of her feelings.",". Moods set the overall tone for speech or writing and are an important element ","A mood is a feeling or a person's specific state of mind at any particular time","Learn 4 different ways to describe people, along with lots of useful words and phrases!","Positive adjectives describe emotions such as love, hope, enthusiasm","while to make my own observations and describe the experiences peculiarly my own","A mood is a feeling or a person's specific state of mind at any particular time. ","Positive adjectives describe emotions such as love, hope, enthusiasm, and ecstasy. Using words like these can help when you want to describe other people, objects, .","We love watching the pros, but let's be honest, it can make us feel a bit ...","A mood is a feeling or a person's specific state of mind at any particular time","Positive adjectives describe emotions such as love, hope, enthusiasm, and ecstasy. Using words like these can help when you want to describe other people, objects,","He has been a wonderful guy from the start and has always accepted my oldest, even though ... developed a bizarre aversion to the style after an awareness experience.","Positive adjectives describe emotions such as love, hope, enthusiasm, and ecstasy. Using words like these can help when you want to describe other people, objects","He has been a wonderful guy from the start and has always accepted my oldest, even though ... developed a bizarre aversion to the style after an awareness experience. ... We love watching the pros, but let's be honest, it can make us feel a bit ...","Ethical ","Friendly ","Ambitious ","bitter. adjective. ...","casual","Anger","Sadness","Happiness","Disgust. ...","Disgust","Happiness","Disgust","Anger","Fear","Anger","Visionary","Personable ","Motivated ","blind. adjective. ...","deep. adjective.","Fear","Contempt.","Surprise","Surprise","Sadness. ...","Fear","Sadness. ...","Sadness","Happiness. ...","Disgust. ...","Conscientious","Extrovert","Leader","burning. adjective. ...","basic. adjective. ...","Happiness","Anger","Contempt","Fear","Anger","Anger","Surprise","Surprise","Happiness. ...","Happiness","10","8","9","8","8","7","8","6","8","8","8","10","9","8","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","W","W","B","B","B","W","B","W","W","W","W","F","A","F","A","A","F","A","F","F","A","F","A","F","F","A",9,"31-40","Female","White","Bachelor's degree (BA/BS)","100k or more","Nothing in particular","4","5","Independent",3,"Does not describe me","Somewhat describes me","Does not describe me","Somewhat describes me","Describes me","Does not describe me","Somewhat describes me","Describes me",2,3,2,3,4,2,3,4,5,5,6,7,"describeORfeel1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,"something we can more visibly see or experience, like how a person smiles.","Ethical ","Visionary","Conscientious","10",0,"W","F",0.5,0,0,0,4,23,"Low","something we can more visibly see or experience, like how a person smiles. Ethical  Visionary Conscientious"
"11",11,0,1,0,0,NA,0,NA,0,1,1,NA,1,NA,0,0,NA,1,NA,NA,0,NA,0,NA,1,1,0,1,0,NA,NA,"This person is angry.","This is a white male. He appears to be in his twenties or thirties.","This is a young black male.","This is a white male in his twenties or thirties.","This person is terrified and shocked.","This person is an african american in their thirties. Their gender is undetermined.","This white male is an adult in his thirties or forties.","This person is taken by surprise.","This is a young african american male in his twenties.","This person is scared.","This is a white male youth.","This is a young white male in his twenties or thirties.","This person is happy.","This person is afraid.","This person is surprised.","angry","young","young","male","terrified","African American","adult","shocked","african american","scared","white","adult","happy","scared","startled","annoyed","white","African American","white","shocked","adult","white","scared","male","shocked","male","white","pleased","surprised","surprised","frustrated","male","male","adult","horrified","undetermined","male","surprised","twenties","horrified","youth","male","friendly","startled","scared","5","4","5","4","4","4","5","4","5","6","7","4","6","6","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","B","W","W","B","W","W","B","W","W","W","W","B","B","A","F","A","A","F","F","F","F","A","F","F","F","F","F","F",11,"31-40","Female","White","Bachelor's degree (BA/BS)","Less than 25k","Atheist/agnostic","4","2","Democrat",2,"Describes me","Describes me","Describes me very well","Describes me very well","Describes me very well","Somewhat describes me","Describes me","Describes me very well",4,4,5,5,5,3,4,5,8,10,8,9,"describeORfeel1",1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,NA,"This person is angry.","angry","annoyed","frustrated","5",0,"B","A",0.5,1,1,0,4,35,"High","This person is angry. angry annoyed frustrated"
"12",12,0,NA,0,1,NA,NA,NA,0,NA,1,1,1,0,1,0,NA,0,NA,1,0,0,0,NA,0,1,1,1,NA,1,NA,"the person feel fear","male","male","feel sad","the person age is 26","this man age is 30","this man age is 45","this man age is 31","this man age feel 36","this man age feel42","this man age feel 48","this man age is 22","this man age is 22","this man age is 25","this man age is 47","fear","male","38","feeling","male","male","male ","male","male","male","male","male","male","male","male","feeling","36","male ","sad","26","30","45","31","36","42","48","22","22","25","47","afraid","black","white","sad","hispanic","black","white","black","black","hispanic","white","black","white","hispanic","black","8","8","9","9","9","10","10","9","8","8","9","9","9","9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","W","W","B","B","W","B","B","B","W","B","W","W","B","F","A","A","A","A","F","F","F","A","F","A","A","A","F","A",12,"20-30","Female","Black or African American","Master's degree (MA/MS/MBA)","50k to less than 75k","Roman Catholic","2","4","Strong Republican",2,"Describes me","Describes me","Somewhat describes me","Describes me","Somewhat describes me","Describes me","Describes me","Somewhat describes me",4,4,3,4,3,4,4,3,8,7,7,7,"describeORfeel1",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"the person feel fear","fear","feeling","afraid","8",0,"W","F",0.5,0,0,0,6,29,"Medium","the person feel fear fear feeling afraid"
"13",13,1,1,NA,NA,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,NA,NA,1,1,NA,1,1,1,NA,1,NA,"The shock and dismay on my face is from the horrible scene I saw. ","The individual is a black man of mid age, approximately 30 years.","The person looks calm, honest and jovial. ","The person is cheerful, honest, warm and sociable. ","The person is pleasant, comical and humorous. ","The individual appears to be focused, determined and confident. ","This person is afraid, shocked and dismayed. ","The person seems to be calm, thoughtful and critical. ","This person is happy, friendly and mindful.","The person is perplexed, imploring and keen. ","The person is serious, unhappy and perturbed. ","The individual is bright, cautious and focused. ","The person is happy, approachable and warm. ","This is a frightened, shocked and wondering look. ","From the look this indicates it is awesome, unbelievable and great to see that. ","shocked","30 years","Calm","honest","pleasant","focused","afraid","calm","happy","perplexed","serious","bright","happy","frightened","awesome","frightened ","Male","Jovial","warm","comical","determined","shocked","thoughtful","mindful","imploring","perturbed ","cautious","warm","wondering","unbeliavable","terrified ","Black","Friendly","sociable","humorous ","confident","dismayed","critical","friendly","keen","unhappy","focused","approachable ","shocked ","great","4","8","10","9","10","8","5","7","7","8","6","7","7","7","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","W","B","B","W","W","B","W","B","W","B","B","W","F","F","A","F","A","A","F","A","A","A","A","A","F","F","F",13,"20-30","Male","Black or African American","Bachelor's degree (BA/BS)","100k or more","Protestant","4","2","Lean Democrat",5,"Describes me","Describes me very well","Describes me","Describes me","Does not describe me","Does not describe me well","Somewhat describes me","Describes me",4,5,4,4,2,1,3,4,9,8,3,7,"describeORfeel1",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"The shock and dismay on my face is from the horrible scene I saw. ","shocked","frightened ","terrified ","4",0,"B","F",0.5,1,0,NA,4,27,"Low","The shock and dismay on my face is from the horrible scene I saw.  shocked frightened  terrified "
